Issued,Paid,Status,Location,Ward,Ticket Destination,Restriction,Outstanding,Contravention
21/05/2021 15:41,-£25.00,Pre-NtO Discount,Brown Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6
21/05/2021 15:43,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:46,£0.00,Pre-NtO Discount,Tib Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£25.00,6
21/05/2021 15:47,£0.00,Pre-NtO Discount,St Mary`s Parsonage,Deansgate,Affixed to vehicle,No Waiting,£35.00,1
21/05/2021 15:48,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:49,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:49,£0.00,Pre-NtO Discount,Humphrey Street,Crumpsall,Affixed to vehicle,No Waiting At Any Time,£35.00,1
21/05/2021 15:50,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
21/05/2021 15:51,-£35.00,Pre-NtO Discount,Humphrey Street,Crumpsall,Affixed to vehicle,No Waiting At Any Time,£0.00,1
21/05/2021 15:52,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,Postal (from Cctv Review Client),Bus Lane,£30.00,34
