Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Contravention,Contravention Description
01/03/2020  08:35: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:37: ,£0.00,Cancelled,Bootle Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/03/2020  08:37: ,£0.00,Pre-NtO Full Rate,Auburn Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:38: ,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:40: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:40: ,£0.00,Pre-NtO Full Rate,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/03/2020  08:40: ,£0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:41: ,-£25.00,Pre-NtO Discount,Whitworth Street West (City Centre : ZONEB),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/03/2020  08:43: ,-£25.00,Pre-NtO Discount,West Mosely Street,Deansgate,Affixed to vehicle,Restricted Area,£0.00,5,Parked after the expiry of paid for time  
01/03/2020  08:43: ,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  08:44: ,£0.00,Pre-NtO Full Rate,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  08:44: ,£0.00,Cancelled,Portland Street (Piccadilly),Piccadilly,Spoil,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  08:45: ,-£50.00,Pre-NtO Full Rate,Bloom Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:45: ,-£30.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:46: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:47: ,£0.00,Pre-NtO Full Rate,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:48: ,£0.00,Pre-NtO Full Rate,Dickinson Street,Deansgate,Affixed to vehicle,No Waiting,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  08:49: ,-£35.00,Pre-NtO Discount,Water Street (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  08:49: ,-£25.00,Pre-NtO Discount,South King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:50: ,-£25.00,Pre-NtO Discount,Southmill Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:50: ,£0.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£30.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:52: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:52: ,£0.00,Pre-NtO Full Rate,Whitworth Street East,Clayt & Open,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  08:52: ,-£25.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:53: ,-£25.00,Pre-NtO Discount,Lower Ormond Street (City Centre),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:55: ,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  08:56: ,£0.00,Cancelled,Portland Street (Piccadilly),Piccadilly,Spoil,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  08:56: ,-£25.00,Pre-NtO Discount,St John Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  08:58: ,-£25.00,Pre-NtO Discount,St Mary`s Parsonage,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/03/2020  09:00: ,£0.00,Pre-NtO Full Rate,Mount Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/03/2020  09:01: ,-£35.00,Pre-NtO Discount,St John Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:02: ,-£130.00,Pre-NtO Discount,Portland Street (Piccadilly),Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:03: ,£0.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  09:03: ,-£35.00,Pre-NtO Discount,St John Street,Deansgate,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:04: ,-£25.00,Pre-NtO Discount,HULME STREET CAR PARK,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  09:05: ,£0.00,Pre-NtO Full Rate,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:07: ,-£25.00,Pre-NtO Discount,Copperas Street,Piccadilly,Affixed to vehicle,Restricted Area,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:09: ,£0.00,Pre-NtO Full Rate,Abingdon Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:09: ,£0.00,Pre-NtO Full Rate,Hulme Hall Road,Hulme,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:10: ,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,82,Parked after the expiry of paid for time  
01/03/2020  09:13: ,£0.00,Pre-NtO Full Rate,Ellesmere Street,Hulme,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:14: ,-£25.00,Pre-NtO Discount,King Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:14: ,£0.00,Pre-NtO Full Rate,Princess Street (Piccadilly : ZONEA),Piccadilly,Affixed to vehicle,Restricted Area,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:15: ,£0.00,Pre-NtO Full Rate,Edge Street (City Centre),Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:17: ,-£25.00,Pre-NtO Discount,Bridge Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  09:17: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  09:20: ,-£140.00,Pre-NtO Discount,Brazil Street,Piccadilly,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:20: ,£0.00,Pre-NtO Full Rate,Chester Road (Hulme),Hulme,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:23: ,£0.00,Pre-NtO Full Rate,Liverpool Road,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/03/2020  09:23: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  09:23: ,£0.00,Pre-NtO Full Rate,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,5,Parked after the expiry of paid for time  
01/03/2020  09:25: ,£0.00,Pre-NtO Full Rate,Wood Street (City Centre),Deansgate,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:27: ,£0.00,Pre-NtO Full Rate,City Road East,Deansgate,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:29: ,£0.00,Cancelled,Bombay Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,-£24.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:30: ,£0.00,Pre-NtO Full Rate,Bombay Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:31: ,-£35.00,Pre-NtO Discount,Circular Road,DidsburyWest,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/03/2020  09:31: ,-£35.00,Pre-NtO Discount,BACK GEORGE STREET,Eastern Lap,Affixed to vehicle,No Waiting At Any Time,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:32: ,£0.00,Pre-NtO Full Rate,Heald Place (Rusholme),Moss Side,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:34: ,£0.00,Pre-NtO Full Rate,Dantzic Street (City Centre),Piccadilly,Affixed to vehicle,GV Loading Bay,£70.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  09:34: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  09:34: ,£0.00,Pre-NtO Full Rate,BACK GEORGE STREET,Eastern Lap,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  09:35: ,-£25.00,Pre-NtO Discount,Little Peter Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:40: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  09:41: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  09:42: ,-£25.00,Pre-NtO Discount,Commercial Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:43: ,-£70.00,Pre-NtO Full Rate,Portway,Woodh Park,Affixed to vehicle,No Loading at Any Time,£0.00,2,Parked or loading/unloading in a restricted street where waiting and loading/unloading restrictions are in force 
01/03/2020  09:45: ,-£25.00,Pre-NtO Discount,Spring Gardens,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:45: ,£0.00,Cancelled,School Lane (North Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  09:45: ,-£25.00,Pre-NtO Discount,Byrom Street (City Centre : ZONEA),Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,24,Not parked correctly within the markings of the bay or space 
01/03/2020  09:47: ,£0.00,Cancelled,School Lane (North Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  09:49: ,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/03/2020  09:51: ,£0.00,Cancelled,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  09:51: ,-£25.00,Pre-NtO Discount,Collier Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:52: ,£0.00,Pre-NtO Full Rate,Riga Street,City Centre,Affixed to vehicle,Pay and Display Parking,£50.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:52: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  09:54: ,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:54: ,£0.00,Cancelled,School Lane (North Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  09:56: ,-£25.00,Pre-NtO Discount,School Lane (South Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  09:56: ,-£35.00,Pre-NtO Full Rate,Rosamond Street West,Hulme,Affixed to vehicle,Gv Loading Bay,£0.00,23,Parked in a parking place or area not designated for that class of vehicle 
01/03/2020  09:56: ,-£25.00,Pre-NtO Discount,South Pump Street,City Centre,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  09:57: ,-£25.00,Pre-NtO Discount,Deansgate,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  10:01: ,-£25.00,Pre-NtO Discount,Bridgewater Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  10:01: ,-£30.00,Post NtO,Rochdale Road (Lathbury Road to Queens Road),MP&NH,CCTV Issue,Restricted Area,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  10:02: ,£0.00,Cancelled,Chepstow Street Car Park,Deansgate,Affixed to vehicle,Car Park,£0.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
01/03/2020  10:04: ,-£35.00,Pre-NtO Discount,Hewitt Street,Deansgate,Affixed to vehicle,No Waiting,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  10:06: ,£0.00,Cancelled,Sheen Gardens,Woodh Park,Handed To Driver,Restricted Area,£0.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  10:07: ,-£25.00,Pre-NtO Discount,Travis Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  10:08: ,-£25.00,Pre-NtO Discount,Travis Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  10:10: ,-£25.00,Pre-NtO Discount,George Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,5,Parked after the expiry of paid for time  
01/03/2020  10:11: ,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  10:16: ,£0.00,Pre-NtO Full Rate,PRESS STREET,Bradford,Affixed to vehicle,No Waiting At Any Time,£70.00,1,Parked in a restricted street during prescribed hours 
01/03/2020  10:18: ,-£25.00,Pre-NtO Discount,Great Jackson Street,Deansgate,Affixed to vehicle,Pay and Display Parking,£0.00,6,Parked without clearly displaying a valid pay & display ticket or voucher 
01/03/2020  10:19: ,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  10:22: ,£0.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  10:23: ,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£60.00,34,Driving in a Bus Lane or Bus Gate
01/03/2020  10:24: ,£0.00,Pre-NtO Full Rate,Lake Car Park,(None),Affixed to vehicle,Car Park,£50.00,83,Parked in a car park without clearly displaying a valid pay & display ticket or voucher or parking clock
