Issued,Paid,Status,Location,Ward,Ticket Destination,Zone Name,Outstanding,Offence
06/02/2021 14:29,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:30,£0.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£30.00,34
06/02/2021 14:30,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:30,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:31,£0.00,Cancelled,ARNDALE CAR PARK,(None),Affixed to vehicle,Car Park,£0.00,73
06/02/2021 14:31,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:32,£0.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£30.00,34
06/02/2021 14:33,-£35.00,Pre-NtO Discount,Albyns Avenue,Cheetham,Affixed to vehicle,No Waiting At Any Time,£0.00,1
06/02/2021 14:35,-£35.00,Pre-NtO Discount,Keppel Road,Chorlton,Affixed to vehicle,No Waiting,£0.00,1
06/02/2021 14:36,-£35.00,Post NtO,Wilmslow Road (DidsburyEast),DidsburyEast,Postal-vehicle drive away,Bus stop clearway,£0.00,47
06/02/2021 14:37,-£35.00,Pre-NtO Discount,School Lane (South Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,73
06/02/2021 14:38,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:40,£0.00,Pre-NtO Full Rate,Portland Street (Deansgate),Deansgate,Affixed to vehicle,Restricted Area,£50.00,6
06/02/2021 14:40,-£35.00,Pre-NtO Discount,Stamford Road (Longsight),Longsight,Handed To Driver,Disabled Persons Parking Place,£0.00,40
06/02/2021 14:41,-£35.00,Pre-NtO Discount,Egerton Road,Chorlton,Affixed to vehicle,Restricted Area,£0.00,23
06/02/2021 14:43,-£35.00,Pre-NtO Discount,School Lane (South Carpark),DidsburyWest,Affixed to vehicle,Parking Place,£0.00,73
06/02/2021 14:44,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
06/02/2021 14:44,-£35.00,Pre-NtO Discount,Stockport Road (Longsight),Longsight,Affixed to vehicle,No Waiting,£0.00,1
06/02/2021 14:46,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:47,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:49,£0.00,Pre-NtO Full Rate,Brundretts Road,ChorltonPark,Affixed to vehicle,Restricted Area,£70.00,45
06/02/2021 14:50,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:51,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:53,£0.00,Post NtO,Portland Street (North-East Bound),City Centre,CCTV Issue,Bus Lane,£30.00,34
06/02/2021 14:54,£0.00,Cancelled,Samuel Ogden Street,Piccadilly,Affixed to vehicle,Pay and Display Parking,£0.00,6
06/02/2021 14:55,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:57,-£30.00,Post NtO,Oxford Road (Hathersage Road To Denmark Road),Rusholme,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:57,-£30.00,Post NtO,Portland Street (South-West Bound),Central,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 14:59,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 15:00,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 15:01,-£30.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 15:02,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 15:02,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 15:02,-£30.00,Post NtO,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 15:03,£0.00,Post NtO,Oxford Street (Whitworth Street West To Chepstow Street),City Centre,CCTV Issue,Bus Lane,£30.00,34
06/02/2021 15:04,£0.00,Pre-NtO Full Rate,Oxford Road (Charles Street To Brancaster Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 15:06,-£30.00,Post NtO,Oxford Road (Nelson Street To Hathersage Road),City Centre,CCTV Issue,Bus Lane,£0.00,34
06/02/2021 15:06,-£30.00,Post NtO,Hunts Bank (Victoria Station Approach To Walkers Croft),Central,CCTV Issue,Bus Lane,£0.00,34
